year,maximum_2m_air_temperature
"1,979",312.281
"1,980",314.231
"1,981",310.817
"1,982",315.357
"1,983",309.874
"1,984",311.057
"1,985",315.66
"1,986",312.546
"1,987",315.011
"1,988",316.716
"1,989",314.692
"1,990",314.282
"1,991",315.526
"1,992",314.328
"1,993",314.385
"1,994",315.558
"1,995",314.344
"1,996",310.931
"1,997",312.269
"1,998",313.348
"1,999",313.755
"2,000",316.054
"2,001",313.701
"2,002",313
"2,003",317.623
"2,004",314.632
"2,005",316.653
"2,006",315
"2,007",314.87
"2,008",313.318
"2,009",314.416
"2,010",316.182
"2,011",314.794
"2,012",317.033
"2,013",314.519
"2,014",314.769
"2,015",313.596
"2,016",313.461
"2,017",315.215
"2,018",317.374
"2,019",314.899
