year,maximum_2m_air_temperature
"1,979",314.118
"1,980",312.211
"1,981",314.804
"1,982",317.747
"1,983",316.742
"1,984",314.559
"1,985",313.995
"1,986",314.319
"1,987",311.653
"1,988",313.844
"1,989",315.494
"1,990",314.318
"1,991",317.149
"1,992",313.396
"1,993",315.273
"1,994",316.394
"1,995",317.362
"1,996",314.153
"1,997",312.736
"1,998",313.334
"1,999",314.383
"2,000",316.243
"2,001",313.633
"2,002",313.34
"2,003",316.294
"2,004",317.425
"2,005",315.678
"2,006",316.91
"2,007",315.916
"2,008",313.656
"2,009",314.846
"2,010",313.612
"2,011",312.745
"2,012",315.359
"2,013",314.76
"2,014",314.219
"2,015",317.212
"2,016",314.97
"2,017",318.077
"2,018",312.69
"2,019",315.227
